text_raw,text,label_raw,label,label_id,split
ntar deh jumat kubawa ehehehe tp agak kecewa obs packagingnya biasa bgt :| bkn tipikal SM,ntar deh jumat kubawa ehehehe tp agak kecewa obs packagingnya biasa bgt :| bkn tipikal sm,Negative,negative,0,train
masyarakat diimbau kirim foto ke bpn,masyarakat diimbau kirim foto ke bpn,Neutral,neutral,1,train
semangat men.. gue masih stuck di catatan ekonomi wkejsjsh soalnya banyak yang ngga match plus ngaco semua..,semangat men.. gue masih stuck di catatan ekonomi wkejsjsh soalnya banyak yang ngga match plus ngaco semua..,Negative,negative,0,train
ledakan hantam gereja di sri lanka saat perayaan paskah,ledakan hantam gereja di sri lanka saat perayaan paskah,Neutral,neutral,1,train
Gubernur ku emang the best dahh promosiin Jabar sampe ke Korea ,gubernur ku emang the best dahh promosiin jabar sampe ke korea,Positive,positive,2,train
error terus iki xl wes larang error huft cerak opr e tak tampol ikiii #LIATINAJA,error terus iki xl wes larang error huft cerak opr e tak tampol ikiii liatinaja,Negative,negative,0,train
Begini Mas. Lebih berisi. Mungkin mau dijajal dulu,begini mas. lebih berisi. mungkin mau dijajal dulu,Neutral,neutral,1,train
fans liverpool,fans liverpool,Neutral,neutral,1,train
"Iyo, alur e ra jelas tenan padahal konsep e maksude apik menurutku","iyo, alur e ra jelas tenan padahal konsep e maksude apik menurutku",Negative,negative,0,train
Bengi iki urusan lancar mlaku2 mbek nopik karo eka simpang lima and Pahlawan,bengi iki urusan lancar mlaku2 mbek nopik karo eka simpang lima and pahlawan,Positive,positive,2,train
"3 kata buat Kereta dan stasiun baru BIM,

OKEH.
SIP.
KEREN.","3 kata buat kereta dan stasiun baru bim, okeh. sip. keren.",Positive,positive,2,train
gunung agung erupsi ini rekomendasi pvmbg,gunung agung erupsi ini rekomendasi pvmbg,Neutral,neutral,1,train
indonesia disebut mendominasi ekspor penjualan kopi di mesir sebesar persen dari total peredaran kopi impor yang ada di mesir senilai juta dolar pada tahun,indonesia disebut mendominasi ekspor penjualan kopi di mesir sebesar persen dari total peredaran kopi impor yang ada di mesir senilai juta dolar pada tahun,Neutral,neutral,1,train
"Liat komen di gmap di lokasi belanja apa resto selalu ada komen ""penjuale ga ramah"" ""ga senyum"" Berarti ga cuma gw doang yg kerasa ya..","liat komen di gmap di lokasi belanja apa resto selalu ada komen ""penjuale ga ramah"" ""ga senyum"" berarti ga cuma gw doang yg kerasa ya..",Negative,negative,0,train
@HarimaBudi Sayange mung kurang ramah penjuale hhhh senyume lebih mahal daripada harga sotone,sayange mung kurang ramah penjuale hhhh senyume lebih mahal daripada harga sotone,Negative,negative,0,train
meskipun judulnya tentang otoritas jasa keuangan ojk sasaran tembak artikel tersebut tersebar ke beberapa institusi pemerintah dpr dan panitia seleksi pemilihan calon anggota dewan komisioner ojk tak lepas dari kritik,meskipun judulnya tentang otoritas jasa keuangan ojk sasaran tembak artikel tersebut tersebar ke beberapa institusi pemerintah dpr dan panitia seleksi pemilihan calon anggota dewan komisioner ojk tak lepas dari kritik,Neutral,neutral,1,train
perlu diingat internet adalah denyut nadi masyrakat kita bisa memajukan pendidikan dan membuat keutusan serta pelayanan publik banyak manfaat wiranto menkopolhukam,perlu diingat internet adalah denyut nadi masyrakat kita bisa memajukan pendidikan dan membuat keutusan serta pelayanan publik banyak manfaat wiranto menkopolhukam,Neutral,neutral,1,train
"Pak 
@saididu
 ,saya mau tanya. Dengan pelayanan KRL yg parah kek gini, kereta mogok tiap hari, kenapa dirut KAI bisa jadi best CEO?","pak ,saya mau tanya. dengan pelayanan krl yg parah kek gini, kereta mogok tiap hari, kenapa dirut kai bisa jadi best ceo?",Negative,negative,0,train
Nunut eling sama Gusti Pangeran #PuspitaNagari,nunut eling sama gusti pangeran puspitanagari,Neutral,neutral,1,train
"Good morning dari aku yg laptopnya tiba-tiba rusak dan possibly lose all of my au drafts, including Roomate, a changki one shot, and HH nasgor","good morning dari aku yg laptopnya tiba-tiba rusak dan possibly lose all of my au drafts, including roomate, a changki one shot, and hh nasgor",Negative,negative,0,train
"Lha iyo, pantesan ora stabil2. Ijeh mumet milih komposisi pemain opo pie sih. Martial lg elek performane we starting terus.","lha iyo, pantesan ora stabil2. ijeh mumet milih komposisi pemain opo pie sih. martial lg elek performane we starting terus.",Negative,negative,0,train
Ntn Oz the great and powerful ki rasane ra enak ndelok barang kepenet2 jan tenan,ntn oz the great and powerful ki rasane ra enak ndelok barang kepenet2 jan tenan,Negative,negative,0,train
"Hahha mantap kalian pelatih online , semoga bisa cepet dapet lisensi FIFA. Dan menjadi raja berandai andai","hahha mantap kalian pelatih online , semoga bisa cepet dapet lisensi fifa. dan menjadi raja berandai andai",Positive,positive,2,train
Bina husada.. Praktikum mikrobiologi... Sopo mau pesen wkwkkwkw...,bina husada.. praktikum mikrobiologi... sopo mau pesen wkwkkwkw...,Neutral,neutral,1,train
"Arsenal mampu tampil lebih apik dibanding tuan rumah, dan kembali ke London dengan membawa raihan tiga angka berkat sontekan Saka & Lacazette. Cuplikan lengkap laga ini bisa disaksikan di aplikasi Mola TV. Download aplikasinya! https://mola.tv/get-app","arsenal mampu tampil lebih apik dibanding tuan rumah, dan kembali ke london dengan membawa raihan tiga angka berkat sontekan saka & lacazette. cuplikan lengkap laga ini bisa disaksikan di aplikasi mola tv. download aplikasinya!",Positive,positive,2,train
berkaitan dengan kecelakaan tol cipularang baru baru ini lipi mengeluarkan riset tentang jaga jarak aman kendaraan,berkaitan dengan kecelakaan tol cipularang baru baru ini lipi mengeluarkan riset tentang jaga jarak aman kendaraan,Neutral,neutral,1,train
mata najwa masa depan papua part mantan gubernur papua freddy numberi meminta pemerintah pusat mempelajari sejarah papua secara utuh sebelum mengambil kebijakan terhadap wilayah itu,mata najwa masa depan papua part mantan gubernur papua freddy numberi meminta pemerintah pusat mempelajari sejarah papua secara utuh sebelum mengambil kebijakan terhadap wilayah itu,Neutral,neutral,1,train
sekilas tentang sepsis,sekilas tentang sepsis,Neutral,neutral,1,train
"HP GUE MANAAAA LAGI DAH, ini wa gak bs dibukaaaaaa wifi nya gak connect ke hp apaya","hp gue manaaaa lagi dah, ini wa gak bs dibukaaaaaa wifi nya gak connect ke hp apaya",Negative,negative,0,train
"@sbyfess Cukup nek di nggo mangan golek seng murah, ngopi Yo neng warung biasa ae Ojo seng sak gelas regane 15punjul😂","cukup nek di nggo mangan golek seng murah, ngopi yo neng warung biasa ae ojo seng sak gelas regane 15punjul😂",Positive,positive,2,train
Sorry to say yaa....kalo gw sih liat bukan pesanan tapi ya lebih ke SDM wasit kita yang masih rendah terutama hakim garis. Karena bukan cuma di match ini doang. Hampir di semua match liga 1 ada aja keputusan wasit terutama hakim garis yang ngaco,sorry to say yaa....kalo gw sih liat bukan pesanan tapi ya lebih ke sdm wasit kita yang masih rendah terutama hakim garis. karena bukan cuma di match ini doang. hampir di semua match liga 1 ada aja keputusan wasit terutama hakim garis yang ngaco,Negative,negative,0,train
Wifi gak connect gini rasanya hampa banget anjer ,wifi gak connect gini rasanya hampa banget anjer,Negative,negative,0,train
"Paket Novel Grafis Tibet dari 
@rotasibooks
 baru saja sampai dan saya kecewa dengan packagingnya. Hanya dibungkus kertas coklat dan plastik sehingga bukunya ada sedikit penyok. Semoga ke depannya ada opsi bubblewrap atau kardus. Bayar nambah pun tidak masalah.",paket novel grafis tibet dari baru saja sampai dan saya kecewa dengan packagingnya. hanya dibungkus kertas coklat dan plastik sehingga bukunya ada sedikit penyok. semoga ke depannya ada opsi bubblewrap atau kardus. bayar nambah pun tidak masalah.,Negative,negative,0,train
Rumah sakit opooo iki. Wes dokter lanange gak sopan. Pelayanan nggremet. Ngkrik!,rumah sakit opooo iki. wes dokter lanange gak sopan. pelayanan nggremet. ngkrik!,Negative,negative,0,train
"Jember is a perfect combo of jalanan rusak, pengendara tak tau aturan, and lack of keterlibatan ahli dlm penataan ruang wilayah dan kota.","jember is a perfect combo of jalanan rusak, pengendara tak tau aturan, and lack of keterlibatan ahli dlm penataan ruang wilayah dan kota.",Negative,negative,0,train
piye ra remuk om . tim punya konsep bermain apik vs tim permainan ra jelas,piye ra remuk om . tim punya konsep bermain apik vs tim permainan ra jelas,Negative,negative,0,train
Solo enek warung babat sik enak,solo enek warung babat sik enak,Positive,positive,2,train
"Gak e gawe ktp kok error terus iki min ndek kabupaten malang 2 ulan gak mari mari ndek kacamatan alasan error terus,","gak e gawe ktp kok error terus iki min ndek kabupaten malang 2 ulan gak mari mari ndek kacamatan alasan error terus,",Negative,negative,0,train
"Apiknya yaaa apik :p susah ndeskripsiinnya. Homescreennya bagus. Aplikasinya banyak. Apalagi kalo udah di ""modif"".","apiknya yaaa apik :p susah ndeskripsiinnya. homescreennya bagus. aplikasinya banyak. apalagi kalo udah di ""modif"".",Positive,positive,2,train
Mau banget tapi mahal plis ga punya duit😫😫😿😿,mau banget tapi mahal plis ga punya duit😫😫😿😿,Negative,negative,0,train
Iki loh ubin lek kowe ga ngerti. Just info aja sih.,iki loh ubin lek kowe ga ngerti. just info aja sih.,Neutral,neutral,1,train
"Padahal justru aku sengaja banget ambil screenshot dari Google biar ada nama tempatnya biar aku ga dikira ngarang xixixixi, eh malah foto ga dari hp sendiri yang dikira ngarang 🤭🤭🤭🤭🤭","padahal justru aku sengaja banget ambil screenshot dari google biar ada nama tempatnya biar aku ga dikira ngarang xixixixi, eh malah foto ga dari hp sendiri yang dikira ngarang 🤭🤭🤭🤭🤭",Neutral,neutral,1,train
"Ketahan jelang 3 stasiun berturut-turut (dibalap kereta luar kota), eh iklannya KEREN KERONTANG mulu.. huhu sabar rif, bentar lagi maghrib 😭","ketahan jelang 3 stasiun berturut-turut (dibalap kereta luar kota), eh iklannya keren kerontang mulu.. huhu sabar rif, bentar lagi maghrib 😭",Positive,positive,2,train
BAGUS BGT SE IKI ANCEN JUARA UMUM,bagus bgt se iki ancen juara umum,Positive,positive,2,train
kalau cuma cewek tidak apa-apa yang penting bukan oleh lebi dari separo indonedia dan lebi dari kali,kalau cuma cewek tidak apa-apa yang penting bukan oleh lebi dari separo indonedia dan lebi dari kali,Neutral,neutral,1,train
"Cards-Ion karena kerasa intense banget. Vibesnya sama² keras, penuh kontrol dan berontak. Dan oh ya gimana kak aiu menyelipkan selingan dan sedikit kisah ddaeng dan life sebagai penyedap itu apik. Cards punya inti masalah sendiri dan berkesinambungan dgn banyak karakter lain.","cards-ion karena kerasa intense banget. vibesnya sama² keras, penuh kontrol dan berontak. dan oh ya gimana kak aiu menyelipkan selingan dan sedikit kisah ddaeng dan life sebagai penyedap itu apik. cards punya inti masalah sendiri dan berkesinambungan dgn banyak karakter lain.",Positive,positive,2,train
"@KediriFess Moro o nde puskesmas, trs minta surat keterangan sehat dingge perjalanan numpak kereta. Ngko garek ngikuti arahan mbe prosedur.. Ngko dicek berat badan, tinggi, tensi, buta warna. Biasane surat e ngene iki. Semoga membantu nder https://t.co/TVWJXRdT6a","moro o nde puskesmas, trs minta surat keterangan sehat dingge perjalanan numpak kereta. ngko garek ngikuti arahan mbe prosedur.. ngko dicek berat badan, tinggi, tensi, buta warna. biasane surat e ngene iki. semoga membantu nder",Neutral,neutral,1,train
Nice try button kayaknya apik juga yah,nice try button kayaknya apik juga yah,Positive,positive,2,train
lebih orang anggota delegasi the th asia pacific geoparks network menjajal trip di gunung rinjani mereka ditawari tiga rute yang menantang,lebih orang anggota delegasi the th asia pacific geoparks network menjajal trip di gunung rinjani mereka ditawari tiga rute yang menantang,Neutral,neutral,1,train
"Kembali from the first album of endank soekamti. Jarang-jarang album Kelas Satu digarap lagi sama Endank Soekamti. Apik mas. Untuk saya, album ini vibesnya depan kridozono banget. eh, depan opo dekat yo?","kembali from the first album of endank soekamti. jarang-jarang album kelas satu digarap lagi sama endank soekamti. apik mas. untuk saya, album ini vibesnya depan kridozono banget. eh, depan opo dekat yo?",Positive,positive,2,train
Jaringan smart emank parah amit. . . I LOVE SLOW,jaringan smart emank parah amit. . . i love slow,Negative,negative,0,train
"Bagus banget feature nya 
@anandasukarlan
 app by 
@enervolution
 
@e_christmas
.lengkap & interactive utk mgenal perjalanan & karya sang maestro.",bagus banget feature nya app by .lengkap & interactive utk mgenal perjalanan & karya sang maestro.,Positive,positive,2,train
"Cah, pomo aku numpak kereta kediri - lempuyangan kudu milih kursi nomor ganjil opo genap yo ben pandangane ndek jendelo searah?","cah, pomo aku numpak kereta kediri - lempuyangan kudu milih kursi nomor ganjil opo genap yo ben pandangane ndek jendelo searah?",Neutral,neutral,1,train
"Kemarin nyobain #TolTransJawa dan emang viewnya keren semoga rest areanya cepat jadi semua, dan semoga juga rest area-nya makin banyak dan merata supaya enak klo mau istirahat pas nyetir jarak jauh ","kemarin nyobain toltransjawa dan emang viewnya keren semoga rest areanya cepat jadi semua, dan semoga juga rest area-nya makin banyak dan merata supaya enak klo mau istirahat pas nyetir jarak jauh",Positive,positive,2,train
"Podo, aku pisan koyoke iki 😓😓","podo, aku pisan koyoke iki 😓😓",Neutral,neutral,1,train
"Iya kan hanya saran, sendernya bisa research lagi kok","iya kan hanya saran, sendernya bisa research lagi kok",Neutral,neutral,1,train
Ho o e. Aku wis nyoba Indonesia ro Inggris telat kabeh. ,ho o e. aku wis nyoba indonesia ro inggris telat kabeh.,Negative,negative,0,train
Keren! Deretan stasiun kereta bawah ini bersih nyaman dan miliki desain super cantik #News https://t.co/Yy73leS9jS,keren! deretan stasiun kereta bawah ini bersih nyaman dan miliki desain super cantik news,Positive,positive,2,train
@refianaz @downypurple Koyo numpak kereta ekonomi,koyo numpak kereta ekonomi,Neutral,neutral,1,train
Hasil Lengkap Match Real Madrid di Bulan Oktober 2022,hasil lengkap match real madrid di bulan oktober 2022,Neutral,neutral,1,train
"Padahal cb terbaik yg di MU yg mainnya bagus di 2 match epl ini ya lisandro.MCfred,Maguire,dalot sama shaw nya aja yg defendnya ngaco,kasian lisandro nutup semua kesalahan mereka dan dianggap flop.Makanya nonton dan perhatiin bkn cuma sekedar liat rating ya.","padahal cb terbaik yg di mu yg mainnya bagus di 2 match epl ini ya lisandro.mcfred,maguire,dalot sama shaw nya aja yg defendnya ngaco,kasian lisandro nutup semua kesalahan mereka dan dianggap flop.makanya nonton dan perhatiin bkn cuma sekedar liat rating ya.",Negative,negative,0,train
"jujur kalo menurut teori sih lagu ini sbnernya bumbu2 tentang jatuh cinta [menurut teori yg belum dikonfirmasi sama mothermother], tapi meurut gue cocok aja vibesnya, cipuy teriak, darah dimana2, tapi backsongnya begini, kaya apik aja gitu ","jujur kalo menurut teori sih lagu ini sbnernya bumbu2 tentang jatuh cinta [menurut teori yg belum dikonfirmasi sama mothermother], tapi meurut gue cocok aja vibesnya, cipuy teriak, darah dimana2, tapi backsongnya begini, kaya apik aja gitu",Positive,positive,2,train
Stasiun tugu jogja juga dah ada ni. Well pancen KAI,stasiun tugu jogja juga dah ada ni. well pancen kai,Positive,positive,2,train
"La berarti liverpool elek no yo, la winggi 5-0 kok saiki 4-0 berarti menurun no performane wkwkkw","la berarti liverpool elek no yo, la winggi 5-0 kok saiki 4-0 berarti menurun no performane wkwkkw",Negative,negative,0,train
surahman mencoba bertahan setelah terlempar dari perahu,surahman mencoba bertahan setelah terlempar dari perahu,Neutral,neutral,1,train
"Dalane alus, satset mangkat ngalas","dalane alus, satset mangkat ngalas",Positive,positive,2,train
"kemaren beli lip product nya barenbliss tp kecewa sama mbaknya, masa aku beli matte tint dikasihnya yang perfect tint. mana packagingnya ini mirip2 bgt jd susah bedainnya :')","kemaren beli lip product nya barenbliss tp kecewa sama mbaknya, masa aku beli matte tint dikasihnya yang perfect tint. mana packagingnya ini mirip2 bgt jd susah bedainnya :')",Negative,negative,0,train
Tidak semua itu ora kabeh om,tidak semua itu ora kabeh om,Neutral,neutral,1,train
Ora edit2an. Potone kamerane elek. Posisi cahayane ora apik. Pas… ,ora edit2an. potone kamerane elek. posisi cahayane ora apik. pas…,Negative,negative,0,train
"enteni yo pertandingane. Aku turu sik, sesuk kabari ae yoo ","enteni yo pertandingane. aku turu sik, sesuk kabari ae yoo",Neutral,neutral,1,train
"Pengen ngeDM km yg lg sama mas crush di jogja, uda balik malang belum sih? :/

Hope everything still running well 🙂

Besok senin, cuk umak pancen ngangenin 😩 oyi","pengen ngedm km yg lg sama mas crush di jogja, uda balik malang belum sih? :/ hope everything still running well 🙂 besok senin, cuk umak pancen ngangenin 😩 oyi",Positive,positive,2,train
selamat pagi indonesia salam sehat untuk kita semua,selamat pagi indonesia salam sehat untuk kita semua,Neutral,neutral,1,train
Biar ada foto bareng konco,biar ada foto bareng konco,Neutral,neutral,1,train
"Kuota habis, WiFi gak connect duh udah 2hari ngak bisa stalk","kuota habis, wifi gak connect duh udah 2hari ngak bisa stalk",Negative,negative,0,train
Iki konsep mantan geuberner brow ..ra jelas ngalor ngidul ,iki konsep mantan geuberner brow ..ra jelas ngalor ngidul,Negative,negative,0,train
Ono opo iki ketinggalan berita,ono opo iki ketinggalan berita,Neutral,neutral,1,train
heran tenan wong wong kok do kerep banget ngakon adus,heran tenan wong wong kok do kerep banget ngakon adus,Neutral,neutral,1,train
hujan > banjir > jalanan berlubang > rawan kecelakaan. hati-hati sobat saat berkendara di jalanan yang rusak and berlobang. love yourself.,hujan > banjir > jalanan berlubang > rawan kecelakaan. hati-hati sobat saat berkendara di jalanan yang rusak and berlobang. love yourself.,Negative,negative,0,train
@hapisakbr makoya? itu tp tempate ada kolam renange juga kaya wisata. nah sederet makoya iki akeh tempat makan lesehan sng hargane murah meriah tp worth banget masakane,makoya? itu tp tempate ada kolam renange juga kaya wisata. nah sederet makoya iki akeh tempat makan lesehan sng hargane murah meriah tp worth banget masakane,Positive,positive,2,train
berbagi cerita wae wkwk,berbagi cerita wae wkwk,Neutral,neutral,1,train
"Lu tau.. kalo Sewo Dino dijadiin buku dengan cover apik dan tulisan di buat lebih epik.. Itu bakal keren banget.. Karena vibesnya itu WAAHH kek anjir ini dark fantasy, black magic lokal deket sehari2 Baca ini ku baca vibes aroma karsa","lu tau.. kalo sewo dino dijadiin buku dengan cover apik dan tulisan di buat lebih epik.. itu bakal keren banget.. karena vibesnya itu waahh kek anjir ini dark fantasy, black magic lokal deket sehari2 baca ini ku baca vibes aroma karsa",Positive,positive,2,train
"@ifanaqib umume, dilewati berarti dicueki, fan. sah, lek iku gara-gara warunge gak enak opo penjuale gak ramah. lha lek demi bebas hambatan?","umume, dilewati berarti dicueki, fan. sah, lek iku gara-gara warunge gak enak opo penjuale gak ramah. lha lek demi bebas hambatan?",Negative,negative,0,train
@vetamandra Ya hargane nggak murah banget tapi di bawah harga grill kota lah..  Monggo mas 😁  KEDAI SAYMOM BBQ GRILL &amp; SHABU   https://t.co/h7tjRD7PcQ,ya hargane nggak murah banget tapi di bawah harga grill kota lah.. monggo mas 😁 kedai saymom bbq grill &amp; shabu,Positive,positive,2,train
"Illira emang keren viewnya, ada balkon bisa liat bali dari kejauhan","illira emang keren viewnya, ada balkon bisa liat bali dari kejauhan",Positive,positive,2,train
"Kan kadohan koyok ndelok kucing, terus tak parani, ehhhhh ternyata kucing....","kan kadohan koyok ndelok kucing, terus tak parani, ehhhhh ternyata kucing....",Neutral,neutral,1,train
sebanyak ribu personel gabungan disiapkan untuk mengawal laga timnas indonesia vs malaysia di stadion gbk senayan jakarta malam ini,sebanyak ribu personel gabungan disiapkan untuk mengawal laga timnas indonesia vs malaysia di stadion gbk senayan jakarta malam ini,Neutral,neutral,1,train
@zamtriossu viewnya emang keren bggt!!! Ijo2 sparkling gt airnya >< lain kali ke sana seii klo rafting bisa liat air terjunnya bgs (katanya),viewnya emang keren bggt!!! ijo2 sparkling gt airnya >< lain kali ke sana seii klo rafting bisa liat air terjunnya bgs (katanya),Positive,positive,2,train
"Skuad US muda, 3 match di grup mainnya energik. Pas vs Belanda masih minim pengalaman anjir mainnya langsung ngaco semua","skuad us muda, 3 match di grup mainnya energik. pas vs belanda masih minim pengalaman anjir mainnya langsung ngaco semua",Negative,negative,0,train
Kurma sisa ramadhan diapain ya enaknya selain dimakan gitu aja ,kurma sisa ramadhan diapain ya enaknya selain dimakan gitu aja,Neutral,neutral,1,train
Apik lur! Vibesnya mirip klub liga thailand.,apik lur! vibesnya mirip klub liga thailand.,Positive,positive,2,train
"Entj sama enfp emg msh bisa sih tp itu ngaco bgt yg di tabel, masa best match nya enfp orang"" S semua ","entj sama enfp emg msh bisa sih tp itu ngaco bgt yg di tabel, masa best match nya enfp orang"" s semua",Negative,negative,0,train
udah ku reset network settingnya tp malah makin parah gtu. Perbaikin deh jaringan telkomselnya.I hate slow,udah ku reset network settingnya tp malah makin parah gtu. perbaikin deh jaringan telkomselnya.i hate slow,Negative,negative,0,train
erasaan first media pemeliharaan jaringan mulu deh..gemess ih lama2..dari semalem wifi gak connect sampai pagi ini..padahal baru beberapa hari yang lalu juga kejadian yg sama..saya baru berlangganan jd males di terusin klo gini mah..,erasaan first media pemeliharaan jaringan mulu deh..gemess ih lama2..dari semalem wifi gak connect sampai pagi ini..padahal baru beberapa hari yang lalu juga kejadian yg sama..saya baru berlangganan jd males di terusin klo gini mah..,Negative,negative,0,train
Pagi2 wifi gak connect ini apa krna blm byr ato indihome gangguan,pagi2 wifi gak connect ini apa krna blm byr ato indihome gangguan,Negative,negative,0,train
Baru juga nanya isat knpa lah lngsung mati listrik otomatis wifi gak connect huhuhu,baru juga nanya isat knpa lah lngsung mati listrik otomatis wifi gak connect huhuhu,Negative,negative,0,train
"Buat yang udah ga kuliah lama, hal apa yang temen2 lakukan biar otaknya tetep tajam tidak tumpul dan awul awul? Apa harus ngerjain lagi soal2 UTS? #eh","buat yang udah ga kuliah lama, hal apa yang temen2 lakukan biar otaknya tetep tajam tidak tumpul dan awul awul? apa harus ngerjain lagi soal2 uts? eh",Neutral,neutral,1,train
"Hargane dibawah 100 ewu. Kui murah banget dinggo tuku okeh!!! Nik wani tuku okeh dan ojo adoh2 lah, senengane gawe kesel wae","hargane dibawah 100 ewu. kui murah banget dinggo tuku okeh!!! nik wani tuku okeh dan ojo adoh2 lah, senengane gawe kesel wae",Positive,positive,2,train
Cacad parah jaringan nya@smartfren i lovely slow,cacad parah jaringan nya i lovely slow,Negative,negative,0,train
Bagus bgt iki asli reee.,bagus bgt iki asli reee.,Positive,positive,2,train
"Jalukane Client Sing Paling Apik, Mbayar Larang Rapopo, Sing Penting pelayanane istimewa.... yoo too...","jalukane client sing paling apik, mbayar larang rapopo, sing penting pelayanane istimewa.... yoo too...",Positive,positive,2,train
"Research lagi, soshum banyak kok","research lagi, soshum banyak kok",Neutral,neutral,1,train
@brightasthesunn Aku aminin yg kenceng!!! Plis banget itu pc bukan cuman mahal tapi gaib juga 🫠🫠🫠,aku aminin yg kenceng!!! plis banget itu pc bukan cuman mahal tapi gaib juga 🫠🫠🫠,Negative,negative,0,train
"parah parah match hari ini, ngaco semua giinn","parah parah match hari ini, ngaco semua giinn",Negative,negative,0,train
Rutinitas tunjung mben sore nang stadion pacar ngono kui is biyen,rutinitas tunjung mben sore nang stadion pacar ngono kui is biyen,Neutral,neutral,1,train
"Drama sejenis ini ada ga sih, bagus bgt iki ","drama sejenis ini ada ga sih, bagus bgt iki",Positive,positive,2,train
Brb kumpulin beberapa hal yg bisa dishare buat jadi next thread,brb kumpulin beberapa hal yg bisa dishare buat jadi next thread,Neutral,neutral,1,train
 jalanan nya rusak and I must get on motorcyle! Whuaaaa..I'm scared :/,jalanan nya rusak and i must get on motorcyle! whuaaaa..i'm scared :/,Negative,negative,0,train
